회사명,종목코드
바이젠셀,308080.KQ
바텍,43150.KQ
벨로크,424760.KQ
보로노이,310210.KQ
본느,226340.KQ
부방,14470.KQ
뷰노,338220.KQ
브이씨,365900.KQ
비보존 제약,82800.KQ
비피도,238200.KQ
삼보모터스,53700.KQ
삼성스팩8호,448740.KQ
삼양엔씨켐,482630.KQ
삼현철강,17480.KQ
상신이디피,91580.KQ
서린바이오,38070.KQ
서울바이오시스,92190.KQ
서전기전,189860.KQ
서플러스글로벌,140070.KQ
선광,3100.KQ
선익시스템,171090.KQ
세림B&G,340440.KQ
세보엠이씨,11560.KQ
세아메카닉스,396300.KQ
센코,347000.KQ
셀레믹스,331920.KQ
셀루메드,49180.KQ
셀바스AI,108860.KQ
셀바이오휴먼텍,318160.KQ
소룩스,290690.KQ
수산아이앤티,50960.KQ
슈피겐코리아,192440.KQ
스킨앤스킨,159910.KQ
스톤브릿지벤처스,330730.KQ
스튜디오산타클로스,204630.KQ
시너지이노베이션,48870.KQ
시지메드텍,56090.KQ
신신제약,2800.KQ
신한제14호스팩,487360.KQ
신흥에스이씨,243840.KQ
심텍홀딩스,36710.KQ
쎄트렉아이,99320.KQ
쎌바이오텍,49960.KQ
씨싸이트,109670.KQ
씨젠,96530.KQ
씨티케이,260930.KQ
아모센스,357580.KQ
아미노로직스,74430.KQ
아비코전자,36010.KQ
아이디피,332370.KQ
아이엠비디엑스,461030.KQ
아이티센,124500.KQ
알파녹스,43100.KQ
애머릿지,900100.KQ
앤디포스,238090.KQ
에스디시스템,121890.KQ
에스앤디,260970.KQ
에스에스알,275630.KQ
에스와이,109610.KQ
에스코넥,96630.KQ
에스피소프트,443670.KQ
에이디칩스,54630.KQ
에이에스텍,453860.KQ
에이치시티,72990.KQ
에이치엠씨제7호스팩,477340.KQ
에이텍,45660.KQ
에이프로,262260.KQ
에이프릴바이오,397030.KQ
에프엔에스테크,83500.KQ
엔에이치스팩25호,438580.KQ
엔에이치스팩31호,481890.KQ
엘앤씨바이오,290650.KQ
엠디바이스,226590.KQ
엠브레인,169330.KQ
엠아이큐브솔루션,373170.KQ
엠케이전자,33160.KQ
오공,45060.KQ
와이씨켐,112290.KQ
와이어블,65530.KQ
와이엔텍,67900.KQ
와이오엠,66430.KQ
와이제이링크,209640.KQ
와이즈버즈,273060.KQ
와이지엔터테인먼트,122870.KQ
우리바이오,82850.KQ
우양에이치씨,101970.KQ
우진엔텍,457550.KQ
원익IPS,240810.KQ
원일특강,12620.KQ
원준,382840.KQ
원텍,336570.KQ
웨이버스,336060.KQ
위니아에이드,377460.KQ
위닉스,44340.KQ
유니온커뮤니티,203450.KQ
유라클,88340.KQ
유아이디,69330.KQ
유아이엘,49520.KQ
유안타제16호스팩,474490.KQ
유진스팩11호,488060.KQ
이노룰스,296640.KQ
이랜텍,54210.KQ
이렘,9730.KQ
이브이첨단소재,131400.KQ
이스트아시아홀딩스,900110.KQ
이엔셀,456070.KQ
이지트로닉스,377330.KQ
이크레더블,92130.KQ
이트론,96040.KQ
인성정보,33230.KQ
인터엠,17250.KQ
일승,333430.KQ
잉크테크,49550.KQ
정다운,208140.KQ
정상제이엘에스,40420.KQ
제우스,79370.KQ
제일바이오,52670.KQ
제일일렉트릭,199820.KQ
젬백스,82270.KQ
조이시티,67000.KQ
주성엔지니어링,36930.KQ
중앙에너비스,440.KQ
지어소프트,51160.KQ
지에스이,53050.KQ
지엘팜텍,204840.KQ
진양제약,7370.KQ
창해에탄올,4650.KQ
카페24,42000.KQ
캐리소프트,317530.KQ
캡스톤파트너스,452300.KQ
컴투스홀딩스,63080.KQ
케이엘넷,39420.KQ
케이프,64820.KQ
케이피에프,24880.KQ
케일럼,258610.KQ
코닉오토메이션,391710.KQ
코리아나,27050.KQ
코미코,183300.KQ
코세스,89890.KQ
코칩,126730.KQ
코텍,52330.KQ
퀄리타스반도체,432720.KQ
큐렉소,60280.KQ
큐브엔터,182360.KQ
크리스탈신소재,900250.KQ
키움제10호스팩,487720.KQ
키움제8호스팩,446840.KQ
탑엔지니어링,65130.KQ
테고사이언스,191420.KQ
토비스,51360.KQ
투비소프트,79970.KQ
티이엠씨씨엔에스,241790.KQ
파라텍,33540.KQ
파버나인,177830.KQ
파워로직스,47310.KQ
파커스,65690.KQ
포니링크,64800.KQ
포스코엠텍,9520.KQ
폴라리스오피스,41020.KQ
푸드나무,290720.KQ
푸른소나무,57880.KQ
프레스티지바이오로직스,334970.KQ
프로이천,321260.KQ
프롬바이오,377220.KQ
플래티어,367000.KQ
플레이디,237820.KQ
피씨엘,241820.KQ
피앤에스미캐닉스,460940.KQ
피에이치에이,43370.KQ
피엔에이치테크,239890.KQ
핑거스토리,417180.KQ
하나26호스팩,446750.KQ
하스,450330.KQ
하이제8호스팩,450050.KQ
한네트,52600.KQ
한솔인티큐브,70590.KQ
한주에이알티,58450.KQ
현대사료,16790.KQ
형지글로벌,308100.KQ
화인써키트,127980.KQ
휴림에이텍,78590.KQ
휴마시스,205470.KQ
휴먼테크놀로지,175140.KQ
휴온스,243070.KQ
GST,83450.KQ
HB인베스트먼트,440290.KQ
HLB바이오스텝,278650.KQ
HLB이노베이션,24850.KQ
HLB제넥스,187420.KQ
HLB파나진,46210.KQ
IBKS제24호스팩,469480.KQ
KB제27호스팩,464680.KQ
KB제29호스팩,478390.KQ
RF머트리얼즈,327260.KQ
RF시스템즈,474610.KQ
YTN,40300.KQ
YW,51390.KQ
강동씨앤엘,198440.KQ
고려신용정보,49720.KQ
고영,98460.KQ
교보15호스팩,465320.KQ
넥스트아이,137940.KQ
넵튠,217270.KQ
노머스,473980.KQ
노브랜드,145170.KQ
농우바이오,54050.KQ
누보,332290.KQ
뉴인텍,12340.KQ
다산솔루에타,154040.KQ
대동스틸,48470.KQ
대신밸런스제14호스팩,442310.KQ
대신정보통신,20180.KQ
대원미디어,48910.KQ
대주산업,3310.KQ
대화제약,67080.KQ
더라미,32860.KQ
덕신이피씨,90410.KQ
덱스터,206560.KQ
듀켐바이오,176750.KQ
드래곤플라이,30350.KQ
디앤디파마텍,347850.KQ
디에이테크놀로지,196490.KQ
디오,39840.KQ
디지틀조선,33130.KQ
딜리,131180.KQ
딥마인드,223310.KQ
라이온켐텍,171120.KQ
링네트,42500.KQ
모니터랩,434480.KQ
모비데이즈,363260.KQ
미래에셋비전스팩5호,477470.KQ
미코,59090.KQ
바이오로그디바이스,208710.KQ
바이오솔루션,86820.KQ
보성파워텍,6910.KQ
브랜드엑스코퍼레이션,337930.KQ
브리지텍,64480.KQ
블루엠텍,439580.KQ
비나텍,126340.KQ
비스토스,419540.KQ
비올,335890.KQ
비츠로시스,54220.KQ
빅텍,65450.KQ
삼륭물산,14970.KQ
삼현,437730.KQ
상아프론테크,89980.KQ
새빗켐,107600.KQ
서연탑메탈,19770.KQ
서울전자통신,27040.KQ
성우,458650.KQ
세동,53060.KQ
세운메디칼,100700.KQ
세원물산,24830.KQ
세중,39310.KQ
세화피앤씨,252500.KQ
센서뷰,321370.KQ
셀로맥스사이언스,471820.KQ
수성웹툰,84180.KQ
수젠텍,253840.KQ
슈어소프트테크,298830.KQ
스코넥,276040.KQ
시지트로닉스,429270.KQ
시큐브,131090.KQ
신라에스지,25870.KQ
신테카바이오,226330.KQ
신한제12호스팩,474660.KQ
심플랫폼,444530.KQ
썸에이지,208640.KQ
씨앤씨인터내셔널,352480.KQ
씨엔알리서치,359090.KQ
씨유메디칼,115480.KQ
아가방컴퍼니,13990.KQ
아모텍,52710.KQ
아스타,246720.KQ
아스테라시스,450950.KQ
아이비젼웍스,469750.KQ
아이스크림미디어,461300.KQ
아이앤씨,52860.KQ
아이윈,90150.KQ
알멕,354320.KQ
알서포트,131370.KQ
알에프세미,96610.KQ
앤씨앤,92600.KQ
앱트뉴로사이언스,270520.KQ
양지사,30960.KQ
에스넷,38680.KQ
에스씨엠생명과학,298060.KQ
에스퓨얼셀,288620.KQ
에스피시스템스,317830.KQ
에이직랜드,445090.KQ
에이치엠넥스,36170.KQ
에이텀,355690.KQ
에코마케팅,230360.KQ
에코프로,86520.KQ
에프앤가이드,64850.KQ
에프엔씨엔터,173940.KQ
엑스게이트,356680.KQ
엑스페릭스,317770.KQ
엑시온그룹,69920.KQ
엔비티,236810.KQ
엔시트론,101400.KQ
엔켐,348370.KQ
엔투텍,227950.KQ
엘오티베큠,83310.KQ
엠투엔,33310.KQ
오늘이엔엠,192410.KQ
오비고,352910.KQ
오상헬스케어,36220.KQ
오스코텍,39200.KQ
오스테오닉,226400.KQ
오에스피,368970.KQ
올릭스,226950.KQ
옵투스제약,131030.KQ
옵트론텍,82210.KQ
와이바이오로직스,338840.KQ
우원개발,46940.KQ
위즈코프,38620.KQ
위츠,459100.KQ
윈스,136540.KQ
유바이오로직스,206650.KQ
유안타제10호스팩,435380.KQ
유안타제17호스팩,493790.KQ
유진로봇,56080.KQ
유진테크놀로지,240600.KQ
유투바이오,221800.KQ
유티아이,179900.KQ
유틸렉스,263050.KQ
윤성에프앤씨,372170.KQ
이수앱지스,86890.KQ
이엠넷,123570.KQ
이엠코리아,95190.KQ
이퓨쳐,134060.KQ
인바이오,352940.KQ
인선이엔티,60150.KQ
인탑스,49070.KQ
인포바인,115310.KQ
인피니트헬스케어,71200.KQ
자비스,254120.KQ
제이스코홀딩스,23440.KQ
제이엔케이글로벌,126880.KQ
제일엠앤에스,412540.KQ
좋은사람들,33340.KQ
지놈앤컴퍼니,314130.KQ
지란지교시큐리티,208350.KQ
진영,285800.KQ
차이커뮤니케이션,351870.KQ
체리부로,66360.KQ
카티스,140430.KQ
케이엔솔,53080.KQ
켄코아에어로스페이스,274090.KQ
코다코,46070.KQ
코디,80530.KQ
코스텍시스,355150.KQ
큐리언트,115180.KQ
큐캐피탈,16600.KQ
키움제11호스팩,489480.KQ
탑런토탈솔루션,336680.KQ
태양,53620.KQ
테라사이언스,73640.KQ
텔레칩스,54450.KQ
토모큐브,475960.KQ
토탈소프트,45340.KQ
트루엔,417790.KQ
티디에스팜,464280.KQ
티로보틱스,117730.KQ
파루,43200.KQ
파멥신,208340.KQ
파수,150900.KQ
파인테크닉스,106240.KQ
파트론,91700.KQ
팬엔터테인먼트,68050.KQ
팬젠,222110.KQ
포시에스,189690.KQ
포커스에이치엔에스,331380.KQ
풍국주정,23900.KQ
프리엠스,53160.KQ
피플바이오,304840.KQ
핌스,347770.KQ
하나27호스팩,448370.KQ
하이로닉,149980.KQ
하이즈항공,221840.KQ
한국선재,25550.KQ
한국제12호스팩,458610.KQ
한국팩키지,37230.KQ
한창산업,79170.KQ
해성옵틱스,76610.KQ
헝셩그룹,900270.KQ
현대이지웰,90850.KQ
현우산업,92300.KQ
휴림로봇,90710.KQ
휴맥스,115160.KQ
휴엠앤씨,263920.KQ
CJ ENM,35760.KQ
DMS,68790.KQ
EG,37370.KQ
IBKS제21호스팩,442770.KQ
IBKS제23호스팩,467930.KQ
KG에코솔루션,151860.KQ
KH 미래물산,111870.KQ
KNN,58400.KQ
MDS테크,86960.KQ
NE능률,53290.KQ
NPX,222160.KQ
가비아,79940.KQ
강스템바이오텍,217730.KQ
경남스틸,39240.KQ
광림,14200.KQ
교보13호스팩,440790.KQ
구영테크,53270.KQ
국일신동,60480.KQ
그래디언트,35080.KQ
그리드위즈,453450.KQ
글로벌에스엠,900070.KQ
금양그린파워,282720.KQ
기가비스,420770.KQ
기산텔레콤,35460.KQ
나노캠텍,91970.KQ
나노팀,417010.KQ
나우IB,293580.KQ
나이스정보통신,36800.KQ
네오리진,94860.KQ
노을,376930.KQ
뉴프렉스,85670.KQ
대동금속,20400.KQ
대성하이텍,129920.KQ
대한뉴팜,54670.KQ
대한약품,23910.KQ
덕산네오룩스,213420.KQ
동방메디컬,240550.KQ
동성화인텍,33500.KQ
동아엘텍,88130.KQ
동양에스텍,60380.KQ
동일금속,109860.KQ
동진쎄미켐,5290.KQ
드림씨아이에스,223250.KQ
디젠스,113810.KQ
딥노이드,315640.KQ
라메디텍,462510.KQ
라온피플,300120.KQ
레인보우로보틱스,277810.KQ
메드팩토,235980.KQ
메디아나,41920.KQ
메디톡스,86900.KQ
메카로,241770.KQ
모다이노칩,80420.KQ
모두투어,80160.KQ
모바일어플라이언스,87260.KQ
모베이스전자,12860.KQ
모아텍,33200.KQ
바른손,18700.KQ
바이오인프라,199730.KQ
백금T&A,46310.KQ
벡트,457600.KQ
비아트론,141000.KQ
비유테크놀러지,230980.KQ
비케이홀딩스,50090.KQ
삼기,122350.KQ
삼기이브이,419050.KQ
삼영에스앤씨,361670.KQ
삼영이엔씨,65570.KQ
삼일,32280.KQ
삼천당제약,250.KQ
삼표시멘트,38500.KQ
상상인,38540.KQ
서부T&D,6730.KQ
서울리거,43710.KQ
석경에이티,357550.KQ
성광벤드,14620.KQ
세경하이테크,148150.KQ
세종메디칼,258830.KQ
소프트센,32680.KQ
스타코링크,60240.KQ
스톰테크,352090.KQ
시노펙스,25320.KQ
신도기연,290520.KQ
신라젠,215600.KQ
신일제약,12790.KQ
쎄니트,37760.KQ
쓰리빌리언,394800.KQ
씨에스베어링,297090.KQ
씨큐브,101240.KQ
아바텍,149950.KQ
아세아텍,50860.KQ
아이디스,143160.KQ
아이스크림에듀,289010.KQ
아이쓰리시스템,214430.KQ
아이씨에이치,368600.KQ
아이씨티케이,456010.KQ
아이패밀리에스씨,114840.KQ
아진산업,13310.KQ
아티스트스튜디오,200350.KQ
알리코제약,260660.KQ
알에스오토메이션,140670.KQ
알톤,123750.KQ
알피바이오,314140.KQ
압타바이오,293780.KQ
애드바이오텍,179530.KQ
앱코,129890.KQ
어보브반도체,102120.KQ
에너토크,19990.KQ
에스앤더블류,103230.KQ
에스에너지,95910.KQ
에스에이티,60540.KQ
에스에이티이엔지,351320.KQ
에스지헬스케어,398120.KQ
에스티오,98660.KQ
에스티큐브,52020.KQ
에스폴리텍,50760.KQ
에스피지,58610.KQ
에쎈테크,43340.KQ
에이비프로바이오,195990.KQ
에이스침대,3800.KQ
에이스테크,88800.KQ
에이에프더블류,312610.KQ
에이엘티,172670.KQ
에이치이엠파마,376270.KQ
에코캡,128540.KQ
엑셀세라퓨틱스,373110.KQ
엔에이치스팩24호,437780.KQ
엔젠바이오,354200.KQ
엔젯,419080.KQ
엔케이맥스,182400.KQ
엠아이텍,179290.KQ
영화테크,265560.KQ
오리엔탈정공,14940.KQ
오션인더블유,52300.KQ
오픈놀,440320.KQ
오픈엣지테크놀로지,394280.KQ
와이솔,122990.KQ
와토스코리아,79000.KQ
우듬지팜,403490.KQ
우리손에프앤지,73560.KQ
우리이앤엘,153490.KQ
월덱스,101160.KQ
유니테스트,86390.KQ
유디엠텍,389680.KQ
유성티엔에스,24800.KQ
유안타제13호스팩,449020.KQ
육일씨엔에쓰,191410.KQ
이글벳,44960.KQ
이닉스,452400.KQ
이엘씨,41520.KQ
이엘피,63760.KQ
이엠텍,91120.KQ
인산가,277410.KQ
인스피언,465480.KQ
재영솔루텍,49630.KQ
제넥신,95700.KQ
제노코,361390.KQ
제로투세븐,159580.KQ
제이씨현시스템,33320.KQ
제이앤티씨,204270.KQ
제이에스티나,26040.KQ
제이엘케이,322510.KQ
제테마,216080.KQ
지니너스,389030.KQ
지더블유바이텍,36180.KQ
지씨셀,144510.KQ
지아이텍,382480.KQ
지오엘리먼트,311320.KQ
지투파워,388050.KQ
진로발효,18120.KQ
진바이오텍,86060.KQ
진성티이씨,36890.KQ
차백신연구소,261780.KQ
케이사인,192250.KQ
케이옥션,102370.KQ
케이피티유,54410.KQ
켐트로닉스,89010.KQ
코데즈컴바인,47770.KQ
코리아에프티,123410.KQ
코스맥스엔비티,222040.KQ
코스메카코리아,241710.KQ
코어라인소프트,384470.KQ
코엔텍,29960.KQ
코웰패션,33290.KQ
코윈테크,282880.KQ
코이즈,121850.KQ
퀀타매트릭스,317690.KQ
큐라클,365270.KQ
큐로홀딩스,51780.KQ
크레오에스지,40350.KQ
테크엘,64520.KQ
톱텍,108230.KQ
티에스아이,277880.KQ
티에스이,131290.KQ
티엑스알로보틱스,484810.KQ
티케이케미칼,104480.KQ
파두,440110.KQ
파로스아이바이오,388870.KQ
파마리서치,214450.KQ
파세코,37070.KQ
파워넷,37030.KQ
파인디지털,38950.KQ
파인텍,131760.KQ
패션플랫폼,225590.KQ
펄어비스,263750.KQ
포스뱅크,105760.KQ
풍원정밀,371950.KQ
퓨쳐켐,220100.KQ
플래스크,41590.KQ
피씨디렉트,51380.KQ
피앤씨테크,237750.KQ
피에스케이,319660.KQ
피엔티엠에스,257370.KQ
하나31호스팩,469900.KQ
하나32호스팩,475240.KQ
하나33호스팩,475250.KQ
하나기술,299030.KQ
하나마이크론,67310.KQ
한국경제TV,39340.KQ
한국비티비,219750.KQ
한국알콜,17890.KQ
한국유니온제약,80720.KQ
한독크린텍,256150.KQ
한빛레이저,452190.KQ
한싹,430690.KQ
한양이엔지,45100.KQ
한주라이트메탈,198940.KQ
한켐,457370.KQ
한텍,98070.KQ
현대에버다임,41440.KQ
협진,138360.KQ
홈캐스트,64240.KQ
화일약품,61250.KQ
휴럼,353190.KQ
휴온스글로벌,84110.KQ
휴젤,145020.KQ
APS,54620.KQ
CS,65770.KQ
CSA 코스믹,83660.KQ
DGI,99520.KQ
EDGC,245620.KQ
HB테크놀러지,78150.KQ
KD,44180.KQ
KG모빌리언스,46440.KQ
KH바텍,60720.KQ
KS인더스트리,101000.KQ
KX하이텍,52900.KQ
KZ정밀,36560.KQ
LK삼양,225190.KQ
SBI핀테크솔루션즈,950110.KQ
SFA반도체,36540.KQ
SM C&C,48550.KQ
TS트릴리온,317240.KQ
광무,29480.KQ
나라셀라,405920.KQ
남화토건,91590.KQ
네오셈,253590.KQ
네오오토,212560.KQ
네이블,153460.KQ
노블엠앤비,106520.KQ
녹십자웰빙,234690.KQ
누리플랜,69140.KQ
누리플렉스,40160.KQ
다산네트웍스,39560.KQ
대동기어,8830.KQ
대보마그네틱,290670.KQ
대신밸런스제18호스팩,478780.KQ
대양전기공업,108380.KQ
대진첨단소재,393970.KQ
대한과학,131220.KQ
대한광통신,10170.KQ
더블유씨피,393890.KQ
더즌,462860.KQ
덕산테코피아,317330.KQ
데이원컴퍼니,373160.KQ
동신건설,25950.KQ
동양이엔피,79960.KQ
두산테스나,131970.KQ
디비금융스팩12호,477760.KQ
디케이락,105740.KQ
디티씨,66670.KQ
디티앤씨알오,383930.KQ
랩지노믹스,84650.KQ
로보티즈,108490.KQ
리메드,302550.KQ
마음AI,377480.KQ
매커스,93520.KQ
메가터치,446540.KQ
미래나노텍,95500.KQ
미래에셋비전스팩6호,478440.KQ
바디텍메드,206640.KQ
바이브컴퍼니,301300.KQ
바이오에프디엔씨,251120.KQ
바이오플러스,99430.KQ
버넥트,438700.KQ
베뉴지,19010.KQ
뷰티스킨,406820.KQ
브레인즈컴퍼니,99390.KQ
브이원텍,251630.KQ
비덴트,121800.KQ
비엠티,86670.KQ
비큐AI,148780.KQ
빅솔론,93190.KQ
빌리언스,44480.KQ
빛과전자,69540.KQ
빛샘전자,72950.KQ
삼보산업,9620.KQ
삼아제약,9300.KQ
삼천리자전거,24950.KQ
상상인제4호스팩,452670.KQ
상지건설,42940.KQ
새로닉스,42600.KQ
서남,294630.KQ
서울반도체,46890.KQ
선진뷰티사이언스,86710.KQ
성우하이텍,15750.KQ
성일하이텍,365340.KQ
세명전기,17510.KQ
소프트캠프,258790.KQ
스마트레이더시스템,424960.KQ
스타플렉스,115570.KQ
스튜디오미르,408900.KQ
시큐레터,418250.KQ
신성델타테크,65350.KQ
신한제15호스팩,487830.KQ
신화콘텍,187270.KQ
실리콘투,257720.KQ
싸이버원,356890.KQ
쏘닉스,88280.KQ
씨씨에스,66790.KQ
씨어스테크놀로지,458870.KQ
씨엔플러스,115530.KQ
아시아종묘,154030.KQ
아우딘퓨쳐스,227610.KQ
아이디스홀딩스,54800.KQ
아이엠,101390.KQ
안국약품,1540.KQ
알비더블유,361570.KQ
알티캐스트,85810.KQ
에르코스,435570.KQ
에스오에스랩,464080.KQ
에스켐,475660.KQ
에스텍,69510.KQ
에이치케이,44780.KQ
에이치피오,357230.KQ
에이티넘인베스트,21080.KQ
에치에프알,230240.KQ
엑세스바이오,950130.KQ
엑셈,205100.KQ
엑스플러스,373200.KQ
엔바이오니아,317870.KQ
엔시스,333620.KQ
엔에이치스팩27호,440820.KQ
엔지스테크널러지,208860.KQ
엔지켐생명과학,183490.KQ
엠게임,58630.KQ
엠로,58970.KQ
엠에스오토텍,123040.KQ
영우디에스피,143540.KQ
예림당,36000.KQ
예스24,53280.KQ
오가닉티코스메틱,900300.KQ
오로스테크놀로지,322310.KQ
오토앤,353590.KQ
온코크로스,382150.KQ
와이씨,232140.KQ
와이엠,7530.KQ
와이엠텍,273640.KQ
우수AMS,66590.KQ
우진비앤지,18620.KQ
워트,396470.KQ
원익머트리얼즈,104830.KQ
원풍물산,8290.KQ
웨이브일렉트로,95270.KQ
웨이비스,289930.KQ
위니아,71460.KQ
위드텍,348350.KQ
위메이드,112040.KQ
윙스풋,335870.KQ
유니셈,36200.KQ
유니크,11320.KQ
유니테크노,241690.KQ
유비벨록스,89850.KQ
유안타제12호스팩,446150.KQ
유일로보틱스,388720.KQ
유진기업,23410.KQ
유진스팩10호,468760.KQ
유진테크,84370.KQ
율호,72770.KQ
이글루,67920.KQ
이노와이어리스,73490.KQ
이녹스첨단소재,272290.KQ
이씨에스,67010.KQ
이엠앤아이,83470.KQ
이화공영,1840.KQ
인콘,83640.KQ
인텍플러스,64290.KQ
자람테크놀로지,389020.KQ
장원테크,174880.KQ
전진바이오팜,110020.KQ
제닉,123330.KQ
제룡산업,147830.KQ
제룡전기,33100.KQ
제이에스링크,127120.KQ
젠큐릭스,229000.KQ
조광ILI,44060.KQ
청담글로벌,362320.KQ
카스,16920.KQ
컨텍,451760.KQ
케스피온,79190.KQ
케이쓰리아이,431190.KQ
케이엔더블유,105330.KQ
케이엔알시스템,199430.KQ
케이엔에스,432470.KQ
케이이엠텍,106080.KQ
케이피에스,256940.KQ
코난테크놀로지,402030.KQ
코렌텍,104540.KQ
코리아에셋투자증권,190650.KQ
코메론,49430.KQ
코아시아,45970.KQ
코츠테크놀로지,448710.KQ
크라우드웍스,355390.KQ
키이스트,54780.KQ
태웅,44490.KQ
태웅로직스,124560.KQ
테라젠이텍스,66700.KQ
테크윙,89030.KQ
티비씨,33830.KQ
티사이언티픽,57680.KQ
티씨케이,64760.KQ
티에스넥스젠,43220.KQ
티에프이,425420.KQ
티움바이오,321550.KQ
티플랙스,81150.KQ
포인트엔지니어링,256630.KQ
폴라리스AI,39980.KQ
폴라리스세원,234100.KQ
프리시젼바이오,335810.KQ
플라즈맵,405000.KQ
피아이이,452450.KQ
피엠티,147760.KQ
피코그램,376180.KQ
픽셀플러스,87600.KQ
필에너지,378340.KQ
하나28호스팩,454750.KQ
하이딥,365590.KQ
하츠,66130.KQ
한국가구,4590.KQ
한국맥널티,222980.KQ
한국비엔씨,256840.KQ
한국파마,32300.KQ
한선엔지니어링,452280.KQ
한성크린텍,66980.KQ
한일사료,5860.KQ
해성에어로보틱스,59270.KQ
화성밸브,39610.KQ
휴네시온,290270.KQ
휴메딕스,200670.KQ
CG인바이츠,83790.KQ
DH오토리드,290120.KQ
HK이노엔,195940.KQ
HRS,36640.KQ
IBKS제20호스팩,439730.KQ
JTC,950170.KQ
JYP Ent.,35900.KQ
KBG,318000.KQ
LS마린솔루션,60370.KQ
LS티라유텍,322180.KQ
NEW,160550.KQ
SAMG엔터,419530.KQ
SCL사이언스,246960.KQ
SG,255220.KQ
SG&G,40610.KQ
SKAI,357880.KQ
SK증권제10호스팩,457940.KQ
