회사명,종목코드
SK증권제11호스팩,472230.KQ
SK증권제8호스팩,435870.KQ
SOOP,67160.KQ
SV인베스트먼트,289080.KQ
TKG애강,22220.KQ
가온칩스,399720.KQ
골프존뉴딘홀딩스,121440.KQ
국영지앤엠,6050.KQ
그린플러스,186230.KQ
기가레인,49080.KQ
네오이뮨텍,950220.KQ
네오팜,92730.KQ
네패스,33640.KQ
뉴트리,270870.KQ
다원시스,68240.KQ
닷밀,464580.KQ
대봉엘에스,78140.KQ
대성파인텍,104040.KQ
대신밸런스제19호스팩,482690.KQ
더코디,224060.KQ
데이타솔루션,263800.KQ
동국S&C,100130.KQ
동국생명과학,303810.KQ
디바이스이엔지,187870.KQ
디알젬,263690.KQ
디와이디,219550.KQ
디와이피엔에프,104460.KQ
디이엔티,79810.KQ
디지아이,43360.KQ
라온시큐어,42510.KQ
리가켐바이오,141080.KQ
마이크로디지탈,305090.KQ
매일홀딩스,5990.KQ
머큐리,100590.KQ
메이슨캐피탈,21880.KQ
멕아이씨에스,58110.KQ
모아데이타,288980.KQ
미래에셋비전스팩7호,482680.KQ
미스터블루,207760.KQ
미코바이오메드,214610.KQ
미트박스,475460.KQ
바이오니아,64550.KQ
바이오톡스텍,86040.KQ
배럴,267790.KQ
밸로프,331520.KQ
뱅크웨어글로벌,199480.KQ
베노티앤알,206400.KQ
베셀,177350.KQ
부스타,8470.KQ
브릿지바이오,288330.KQ
블랙야크아이앤씨,478560.KQ
비씨엔씨,146320.KQ
비에이치아이,83650.KQ
비엔케이제2호스팩,473370.KQ
사람인,143240.KQ
삼성스팩7호,439250.KQ
샘씨엔에스,252990.KQ
샤페론,378800.KQ
서산,79650.KQ
서희건설,35890.KQ
선바이오,67370.KQ
성도이엔지,37350.KQ
성우전자,81580.KQ
셀레스트라,352770.KQ
셀비온,308430.KQ
소마젠,950200.KQ
솔트룩스,304100.KQ
스맥,99440.KQ
스튜디오삼익,415380.KQ
시공테크,20710.KQ
신스틸,162300.KQ
신시웨이,290560.KQ
신영스팩9호,445970.KQ
신원종합개발,17000.KQ
신진에스엠,138070.KQ
신화인터텍,56700.KQ
심텍,222800.KQ
싸이토젠,217330.KQ
쎄노텍,222420.KQ
씨앤지하이테크,264660.KQ
씨앤투스,352700.KQ
씨이랩,189330.KQ
아나패스,123860.KQ
아미코젠,92040.KQ
아스트,67390.KQ
아이센스,99190.KQ
아이씨디,40910.KQ
아이에스티이,212710.KQ
아이엘사이언스,307180.KQ
아이진,185490.KQ
아이퀘스트,262840.KQ
아이큐어,175250.KQ
아이티센엔텍,10280.KQ
아티스트유나이티드,321820.KQ
안랩,53800.KQ
알로이스,297570.KQ
애니젠,196300.KQ
애니플러스,310200.KQ
액트로,290740.KQ
야스,255440.KQ
에스바이오메딕스,304360.KQ
에스엠씨지,460870.KQ
에스엠코어,7820.KQ
에이디테크놀로지,200710.KQ
에이비엘바이오,298380.KQ
에이유브랜즈,481070.KQ
에이치엘사이언스,239610.KQ
에이치와이티씨,148930.KQ
에프에스티,36810.KQ
엑시콘,92870.KQ
엔텔스,69410.KQ
엘컴텍,37950.KQ
엘티씨,170920.KQ
엠에프엠코리아,323230.KQ
오르비텍,46120.KQ
오리콤,10470.KQ
오텍,67170.KQ
오파스넷,173130.KQ
오하임앤컴퍼니,309930.KQ
옵티코어,380540.KQ
와이엠씨,155650.KQ
우리로,46970.KQ
우리산업홀딩스,72470.KQ
우림피티에스,101170.KQ
우양,103840.KQ
우정바이오,215380.KQ
원익QnC,74600.KQ
원티드랩,376980.KQ
웰킵스하이텍,43590.KQ
웹젠,69080.KQ
위너스,479960.KQ
위더스제약,330350.KQ
윈하이텍,192390.KQ
유비케어,32620.KQ
유안타제15호스팩,473050.KQ
유에스티,263770.KQ
율촌,146060.KQ
이건홀딩스,39020.KQ
이노메트리,302430.KQ
이노시뮬레이션,274400.KQ
이노인스트루먼트,215790.KQ
이랜시스,264850.KQ
이미지스,115610.KQ
이베스트스팩6호,478110.KQ
이삭엔지니어링,351330.KQ
이엔에프테크놀로지,102710.KQ
이오테크닉스,39030.KQ
이지바이오,353810.KQ
이지홀딩스,35810.KQ
인벤티지랩,389470.KQ
인스웨이브시스템즈,450520.KQ
인지소프트,100030.KQ
인크레더블버즈,64090.KQ
인크로스,216050.KQ
인트로메딕,150840.KQ
인화정공,101930.KQ
일월지엠엘,178780.KQ
정원엔시스,45510.KQ
제넨바이오,72520.KQ
제놀루션,225220.KQ
제이스텍,90470.KQ
진시스템,363250.KQ
차바이오텍,85660.KQ
캐리,313760.KQ
컴퍼니케이,307930.KQ
케어젠,214370.KQ
케이씨에스,115500.KQ
케이엔제이,272110.KQ
케이피엠테크,42040.KQ
켐트로스,220260.KQ
코맥스,36690.KQ
코아스템켐온,166480.KQ
콜마비앤에이치,200130.KQ
쿠콘,294570.KQ
큐리옥스바이오시스템즈,445680.KQ
크린앤사이언스,45520.KQ
클래시스,214150.KQ
클리오,237880.KQ
태광,23160.KQ
토마토시스템,393210.KQ
토박스코리아,215480.KQ
툴젠,199800.KQ
티앤알바이오팹,246710.KQ
티이엠씨,425040.KQ
파이버프로,368770.KQ
파이오링크,170790.KQ
파인디앤씨,49120.KQ
팜스빌,318010.KQ
팜스토리,27710.KQ
포바이포,389140.KQ
포인트모바일,318020.KQ
풍강,93380.KQ
퓨런티어,370090.KQ
프럼파스트,35200.KQ
플랜티넷,75130.KQ
피에스케이홀딩스,31980.KQ
피에스텍,2230.KQ
하나금융25호스팩,435620.KQ
하이드로리튬,101670.KQ
하이젠알앤엠,160190.KQ
한국전자인증,41460.KQ
한국제15호스팩,479880.KQ
한빛소프트,47080.KQ
한울소재과학,91440.KQ
한중엔시에스,107640.KQ
현대힘스,460930.KQ
홈센타홀딩스,60560.KQ
화신정공,126640.KQ
효성오앤비,97870.KQ
휴센텍,215090.KQ
흥구석유,24060.KQ
흥국,10240.KQ
3S,60310.KQ
AP시스템,265520.KQ
CNT85,56730.KQ
DB금융스팩11호,456440.KQ
DH오토웨어,25440.KQ
ES큐브,50120.KQ
HLB생명과학,67630.KQ
HLB제약,47920.KQ
JW신약,67290.KQ
KB제25호스팩,455250.KQ
KB제30호스팩,486630.KQ
LB세미콘,61970.KQ
SDN,99220.KQ
SGA솔루션즈,184230.KQ
SK증권제13호스팩,473950.KQ
THE E&M,89230.KQ
TPC,48770.KQ
TS인베스트먼트,246690.KQ
갤럭시아머니트리,94480.KQ
고바이오랩,348150.KQ
국보디자인,66620.KQ
국전약품,307750.KQ
그린리소스,402490.KQ
나스미디어,89600.KQ
나이스디앤비,130580.KQ
남화산업,111710.KQ
네오위즈홀딩스,42420.KQ
네오티스,85910.KQ
네온테크,306620.KQ
네이처셀,7390.KQ
넥스트바이오메디컬,389650.KQ
넥써쓰,205500.KQ
노랑풍선,104620.KQ
뉴보텍,60260.KQ
대륙제관,4780.KQ
대유,290380.KQ
대창스틸,140520.KQ
대호특수강,21040.KQ
덕산하이메탈,77360.KQ
데브시스터즈,194480.KQ
도이치모터스,67990.KQ
동국알앤에스,75970.KQ
동국제약,86450.KQ
동운아나텍,94170.KQ
동화기업,25900.KQ
드림시큐리티,203650.KQ
디에스케이,109740.KQ
디케이티,290550.KQ
디티앤씨,187220.KQ
라닉스,317120.KQ
레몬,294140.KQ
레이,228670.KQ
레이언스,228850.KQ
레이크머티리얼즈,281740.KQ
마이크로컨텍솔,98120.KQ
마이크로투나노,424980.KQ
메디콕스,54180.KQ
미래에셋드림스팩1호,442900.KQ
미래컴퍼니,49950.KQ
밀리의서재,418470.KQ
바른손이앤에이,35620.KQ
바이온,32980.KQ
뷰웍스,100120.KQ
브이티,18290.KQ
블루콤,33560.KQ
블리츠웨이스튜디오,369370.KQ
비아이매트릭스,413640.KQ
비엔케이제1호스팩,445360.KQ
비츠로셀,82920.KQ
사피엔반도체,452430.KQ
산돌,419120.KQ
삼보판지,23600.KQ
삼양케이씨아이,36670.KQ
삼진,32750.KQ
삼진엘앤디,54090.KQ
샌즈랩,411080.KQ
서암기계공업,100660.KQ
서울제약,18680.KQ
서원인텍,93920.KQ
서진시스템,178320.KQ
서진오토모티브,122690.KQ
성창오토텍,80470.KQ
성호전자,43260.KQ
셀바스헬스케어,208370.KQ
소니드,60230.KQ
솔브레인홀딩스,36830.KQ
슈프리마,236200.KQ
스페코,13810.KQ
승일,49830.KQ
시그네틱스,33170.KQ
시스웍,269620.KQ
신성에스티,416180.KQ
신영스팩8호,430220.KQ
신한제13호스팩,474930.KQ
싸이맥스,160980.KQ
씨유테크,376290.KQ
씨피시스템,413630.KQ
아난티,25980.KQ
아바코,83930.KQ
아셈스,136410.KQ
아이비김영,339950.KQ
아이언디바이스,464500.KQ
아이즈비전,31310.KQ
아크솔루션스,203690.KQ
아톤,158430.KQ
알에프텍,61040.KQ
알엔투테크놀로지,148250.KQ
액토즈소프트,52790.KQ
앱클론,174900.KQ
에스아이리소스,65420.KQ
에스앤에스텍,101490.KQ
에스제이그룹,306040.KQ
에이럭스,475580.KQ
에이루트,96690.KQ
에이치브이엠,295310.KQ
에이테크솔루션,71670.KQ
에이텍모빌리티,224110.KQ
에코바이오,38870.KQ
에코아이,448280.KQ
엔에이치스팩26호,439410.KQ
엔에이치스팩29호,451700.KQ
엔피디,198080.KQ
엘케이켐,489500.KQ
엠에스씨,9780.KQ
엣지파운드리,105550.KQ
오리엔트정공,65500.KQ
오성첨단소재,52420.KQ
오픈베이스,49480.KQ
온코닉테라퓨틱스,476060.KQ
옵티시스,109080.KQ
와이랩,432430.KQ
우리기술투자,41190.KQ
우리넷,115440.KQ
우리산업,215360.KQ
원익,32940.KQ
위세아이텍,65370.KQ
위지윅스튜디오,299900.KQ
윙입푸드,900340.KQ
유니트론텍,142210.KQ
유비쿼스,264450.KQ
유안타제14호스팩,450940.KQ
이니텍,53350.KQ
이루온,65440.KQ
이상네트웍스,80010.KQ
이스트소프트,47560.KQ
인바디,41830.KQ
인텔리안테크,189300.KQ
인트론바이오,48530.KQ
일신바이오,68330.KQ
잉글우드랩,950140.KQ
자연과환경,43910.KQ
자이글,234920.KQ
제너셈,217190.KQ
제노레이,122310.KQ
제닉스,381620.KQ
제이씨케미칼,137950.KQ
제이오,418550.KQ
제주맥주,276730.KQ
중앙백신,72020.KQ
지노믹트리,228760.KQ
참좋은여행,94850.KQ
초록뱀미디어,47820.KQ
칩스앤미디어,94360.KQ
캠시스,50110.KQ
컴투스,78340.KQ
케이바이오,38530.KQ
코오롱생명과학,102940.KQ
코오롱티슈진,950160.KQ
코콤,15710.KQ
퀀텀온,227100.KQ
큐라티스,348080.KQ
큐로셀,372320.KQ
큐에스아이,66310.KQ
클로봇,466100.KQ
키네마스터,139670.KQ
타이거일렉,219130.KQ
탑머티리얼,360070.KQ
티쓰리,204610.KQ
팅크웨어,84730.KQ
팬스타엔터프라이즈,54300.KQ
팸텍,271830.KQ
푸드웰,5670.KQ
푸른기술,94940.KQ
프로텍,53610.KQ
플루토스,19570.KQ
플리토,300080.KQ
피엔케이피부임상연구센타,347740.KQ
피제이전자,6140.KQ
핀텔,291810.KQ
하나29호스팩,454640.KQ
하나34호스팩,484130.KQ
하이록코리아,13030.KQ
하이비젼시스템,126700.KQ
하이텍팜,106190.KQ
한국정밀기계,101680.KQ
한양디지텍,78350.KQ
한울반도체,320000.KQ
한컴위드,54920.KQ
한탑,2680.KQ
해성산업,34810.KQ
핸디소프트,220180.KQ
헥토이노베이션,214180.KQ
현대ADM,187660.KQ
현대에이치티,39010.KQ
힘스,238490.KQ
AP헬스케어,109960.KQ
CBI,13720.KQ
CJ 바이오사이언스,311690.KQ
CNH,23460.KQ
DGP,60900.KQ
HLB테라퓨틱스,115450.KQ
ISC,95340.KQ
KB오토시스,24120.KQ
KH 건설,226360.KQ
KX,122450.KQ
LB인베스트먼트,309960.KQ
LS증권,78020.KQ
NHN벅스,104200.KQ
SBI인베스트먼트,19550.KQ
강원에너지,114190.KQ
고스트스튜디오,950190.KQ
공구우먼,366030.KQ
그리티,204020.KQ
그린생명과학,114450.KQ
글로벌텍스프리,204620.KQ
금강철강,53260.KQ
나노브릭,286750.KQ
나노신소재,121600.KQ
나라엠앤디,51490.KQ
나무가,190510.KQ
나인테크,267320.KQ
네패스아크,330860.KQ
넥스틴,348210.KQ
넥슨게임즈,225570.KQ
다보링크,340360.KQ
대명소노시즌,7720.KQ
대산F&B,65150.KQ
대성창투,27830.KQ
대신밸런스제15호스팩,457390.KQ
대정화금,120240.KQ
동국산업,5160.KQ
동방선기,99410.KQ
동아화성,41930.KQ
동원개발,13120.KQ
드림인사이트,362990.KQ
디비금융제13호스팩,489730.KQ
디앤씨미디어,263720.KQ
디에이치엑스컴퍼니,31860.KQ
디와이씨,310870.KQ
라파스,214260.KQ
레드캡투어,38390.KQ
레뷰코퍼레이션,443250.KQ
루닛,328130.KQ
루멘스,38060.KQ
루미르,474170.KQ
리노공업,58470.KQ
리드코프,12700.KQ
리파인,377450.KQ
린드먼아시아,277070.KQ
마녀공장,439090.KQ
마니커에프앤지,195500.KQ
마크로젠,38290.KQ
멀티캠퍼스,67280.KQ
메가스터디교육,215200.KQ
메디앙스,14100.KQ
메디포스트,78160.KQ
메지온,140410.KQ
모델솔루션,417970.KQ
모비릭스,348030.KQ
모코엠시스,333050.KQ
미래에셋벤처투자,100790.KQ
미투온,201490.KQ
민테크,452200.KQ
바이넥스,53030.KQ
바이오스마트,38460.KQ
범한퓨얼셀,382900.KQ
브이엠,89970.KQ
비비씨,318410.KQ
비씨월드제약,200780.KQ
비엘팜텍,65170.KQ
비츠로테크,42370.KQ
비트맥스,377030.KQ
사이냅소프트,466410.KQ
삼목에스폼,18310.KQ
상신전자,263810.KQ
서한,11370.KQ
성우테크론,45300.KQ
세종텔레콤,36630.KQ
세진티에스,67770.KQ
세코닉스,53450.KQ
세토피아,222810.KQ
셀리드,299660.KQ
솔본,35610.KQ
솔트웨어,328380.KQ
쇼박스,86980.KQ
스튜디오드래곤,253450.KQ
스피어,347700.KQ
시큐센,232830.KQ
신한제11호스팩,452980.KQ
쏠리드,50890.KQ
씨메스,475400.KQ
씨유박스,340810.KQ
아시아경제,127710.KQ
아이에이,38880.KQ
아이윈플러스,123010.KQ
아이지넷,462980.KQ
아이텍,119830.KQ
아이톡시,52770.KQ
아이티아이즈,372800.KQ
아이티엠반도체,84850.KQ
아주IB투자,27360.KQ
아즈텍WB,32080.KQ
아진엑스텍,59120.KQ
안트로젠,65660.KQ
에스디생명공학,217480.KQ
에스씨디,42110.KQ
에스에이엠티,31330.KQ
에스엘에스바이오,246250.KQ
에스엠,41510.KQ
에스와이스틸텍,365330.KQ
에스유앤피,19590.KQ
에스트래픽,234300.KQ
에스티아이,39440.KQ
에어레인,163280.KQ
에이비온,203400.KQ
에이스토리,241840.KQ
에이치엔에스하이텍,44990.KQ
에코볼트,97780.KQ
에코프로비엠,247540.KQ
에코프로에이치엔,383310.KQ
엑사이엔씨,54940.KQ
엔에이치스팩30호,466910.KQ
엔에프씨,265740.KQ
엔젤로보틱스,455900.KQ
엔피,291230.KQ
엔피케이,48830.KQ
엘디티,96870.KQ
엘앤케이바이오,156100.KQ
엠오티,413390.KQ
엠젠솔루션,32790.KQ
엠투아이,347890.KQ
영림원소프트랩,60850.KQ
예선테크,250930.KQ
오디텍,80520.KQ
오스템,31510.KQ
오이솔루션,138080.KQ
와이즈넛,96250.KQ
와이지-원,19210.KQ
우리기술,32820.KQ
우리엔터프라이즈,37400.KQ
우주일렉트로,65680.KQ
원바이오젠,307280.KQ
원익홀딩스,30530.KQ
원풍,8370.KQ
웰크론,65950.KQ
웹스,196700.KQ
위메이드맥스,101730.KQ
유니슨,18000.KQ
유안타제11호스팩,444920.KQ
유일에너테크,340930.KQ
이노스페이스,462350.KQ
이노진,344860.KQ
이스트에이드,239340.KQ
이에이트,418620.KQ
이지케어텍,99750.KQ
인터플렉스,51370.KQ
인포뱅크,39290.KQ
일진파워,94820.KQ
제이브이엠,54950.KQ
제이아이테크,417500.KQ
제이엔비,452160.KQ
제이엠아이,33050.KQ
제이티,89790.KQ
제일테크노스,38010.KQ
제주반도체,80220.KQ
중앙첨단소재,51980.KQ
지니언스,263860.KQ
지니틱스,303030.KQ
지앤비에스 에코,382800.KQ
지엔코,65060.KQ
카이노스메드,284620.KQ
케어랩스,263700.KQ
케이디켐,221980.KQ
케이에스피,73010.KQ
케이엠제약,225430.KQ
코미팜,41960.KQ
코아시아씨엠,196450.KQ
코위버,56360.KQ
코퍼스코리아,322780.KQ
큐알티,405100.KQ
크리스에프앤씨,110790.KQ
탑코미디어,134580.KQ
트윔,290090.KQ
특수건설,26150.KQ
티엔엔터테인먼트,131100.KQ
파인메딕스,387570.KQ
판타지오,32800.KQ
포메탈,119500.KQ
폰드그룹,472850.KQ
폴라리스우노,114630.KQ
푸른저축은행,7330.KQ
퓨릿,445180.KQ
퓨처코어,151910.KQ
피노,33790.KQ
피엔티,137400.KQ
피제이메탈,128660.KQ
필옵틱스,161580.KQ
핑거,163730.KQ
한국전자금융,63570.KQ
한국정보인증,53300.KQ
한국제13호스팩,464440.KQ
한국제14호스팩,477530.KQ
한국컴퓨터,54040.KQ
한국피아이엠,448900.KQ
한글과컴퓨터,30520.KQ
한솔아이원스,114810.KQ
한스바이오메드,42520.KQ
한일화학,7770.KQ
한화플러스제5호스팩,498390.KQ
헥토파이낸셜,234340.KQ
현대공업,170030.KQ
현대바이오랜드,52260.KQ
형지I&C,11080.KQ
휴비츠,65510.KQ
희림,37440.KQ
AP위성,211270.KQ
BF랩스,139050.KQ
BGF에코머티리얼즈,126600.KQ
CMG제약,58820.KQ
DSC인베스트먼트,241520.KQ
DXVX,180400.KQ
HB솔루션,297890.KQ
IBKS제22호스팩,448760.KQ
KBI메탈,24840.KQ
KB제28호스팩,476470.KQ
KB제31호스팩,492220.KQ
KG이니시스,35600.KQ
LS머트리얼즈,417200.KQ
NHN KCP,60250.KQ
SGC E&C,16250.KQ
SK증권제12호스팩,473000.KQ
SK증권제9호스팩,455910.KQ
TJ미디어,32540.KQ
경남제약,53950.KQ
고려제약,14570.KQ
골프존,215000.KQ
광진실업,26910.KQ
교보14호스팩,456490.KQ
교보16호스팩,482520.KQ
국순당,43650.KQ
국일제지,78130.KQ
글로본,19660.KQ
나노,187790.KQ
나노씨엠에스,247660.KQ
나래나노텍,137080.KQ
나무기술,242040.KQ
나이벡,138610.KQ
네오위즈,95660.KQ
네오크레마,311390.KQ
넥스턴바이오,89140.KQ
넥스트칩,396270.KQ
노바렉스,194700.KQ
뉴로메카,348340.KQ
뉴파워프라즈마,144960.KQ
다날,64260.KQ
다우데이타,32190.KQ
대림제지,17650.KQ
대신밸런스제16호스팩,457630.KQ
대신밸런스제17호스팩,471050.KQ
대아티아이,45390.KQ
대원,7680.KQ
대주전자재료,78600.KQ
대창솔루션,96350.KQ
더테크놀로지,43090.KQ
동양파일,228340.KQ
동일기연,32960.KQ
동일스틸럭스,23790.KQ
듀오백,73190.KQ
디모아,16670.KQ
디아이티,110990.KQ
디어유,376300.KQ
디에이피,66900.KQ
디엔에프,92070.KQ
디지털대성,68930.KQ
디케이앤디,263020.KQ
레이저옵텍,199550.KQ
로보로보,215100.KQ
로스웰,900260.KQ
로지시스,67730.KQ
리튬포어스,73570.KQ
링크제니시스,219420.KQ
매일유업,267980.KQ
메가스터디,72870.KQ
메가엠디,133750.KQ
메쎄이상,408920.KQ
모비스,250060.KQ
모아라이프플러스,142760.KQ
모트렉스,118990.KQ
모티브링크,463480.KQ
무림SP,1810.KQ
미디어젠,279600.KQ
미래생명자원,218150.KQ
미래에셋비전스팩2호,446190.KQ
미래에셋비전스팩3호,448830.KQ
미래에셋비전스팩4호,477380.KQ
박셀바이오,323990.KQ
버킷스튜디오,66410.KQ
보광산업,225530.KQ
보라티알,250000.KQ
비투엔,307870.KQ
비트컴퓨터,32850.KQ
삐아,451250.KQ
삼성스팩9호,468510.KQ
삼영엠텍,54540.KQ
삼일기업공사,2290.KQ
삼지전자,37460.KQ
삼화네트웍스,46390.KQ
상보,27580.KQ
서울옥션,63170.KQ
서호전기,65710.KQ
선샤인푸드,217620.KQ
세니젠,188260.KQ
셀트리온제약,68760.KQ
셀피글로벌,68940.KQ
손오공,66910.KQ
솔브레인,357780.KQ
슈프리마에이치큐,94840.KQ
신라섬유,1000.KQ
신영스팩10호,472220.KQ
쓰리에이로직스,177900.KQ
씨아이에스,222080.KQ
씨엑스아이,900120.KQ
씨티씨바이오,60590.KQ
아모그린텍,125210.KQ
아스플로,159010.KQ
아이빔테크놀로지,460470.KQ
아이엠티,451220.KQ
아이컴포넌트,59100.KQ
아이크래프트,52460.KQ
알체라,347860.KQ
알테오젠,196170.KQ
알파홀딩스,117670.KQ
압타머사이언스,291650.KQ
얼라인드,238120.KQ
에브리봇,270660.KQ
에스비비테크,389500.KQ
에스에프에이,56190.KQ
에스티팜,237690.KQ
에이치엠씨제6호스팩,462020.KQ
에이팩트,200470.KQ
에코앤드림,101360.KQ
에코플라스틱,38110.KQ
에프알텍,73540.KQ
엑스큐어,70300.KQ
엔브이에이치코리아,67570.KQ
엔에스이엔엠,78860.KQ
엘엠에스,73110.KQ
엠에프씨,432980.KQ
엠플러스,259630.KQ
예스티,122640.KQ
오로라,39830.KQ
오름테라퓨틱,475830.KQ
오브젠,417860.KQ
오상자이엘,53980.KQ
오킨스전자,80580.KQ
올리패스,244460.KQ
옴니시스템,57540.KQ
옵티팜,153710.KQ
와이엠티,251370.KQ
와이팜,332570.KQ
원익큐브,14190.KQ
원익피앤이,217820.KQ
웰크론한텍,76080.KQ
웹케시,53580.KQ
위메이드플레이,123420.KQ
위지트,36090.KQ
윈팩,97800.KQ
유라테크,48430.KQ
유비온,84440.KQ
유비쿼스홀딩스,78070.KQ
유신,54930.KQ
유진스팩9호,442130.KQ
이노뎁,303530.KQ
이녹스,88390.KQ
이오플로우,294090.KQ
이원컴포텍,88290.KQ
이화전기,24810.KQ
인베니아,79950.KQ
인지디스플레,37330.KQ
인카금융서비스,211050.KQ
인터로조,119610.KQ
일지테크,19540.KQ
자이언트스텝,289220.KQ
저스템,417840.KQ
제이엠티,94970.KQ
제이투케이바이오,420570.KQ
조아제약,34940.KQ
지니뮤직,43610.KQ
지아이이노베이션,358570.KQ
지엔씨에너지,119850.KQ
진매트릭스,109820.KQ
천보,278280.KQ
카카오게임즈,293490.KQ
캐스텍코리아,71850.KQ
캔버스엔,210120.KQ
컬러레이,900310.KQ
케이씨티,89150.KQ
케이씨피드,25880.KQ
케이아이엔엑스,93320.KQ
케이알엠,93640.KQ
케이엠,83550.KQ
케이엠더블유,32500.KQ
케이웨더,68100.KQ
케이티알파,36030.KQ
코나아이,52400.KQ
코셈,360350.KQ
코스나인,82660.KQ
크레버스,96240.KQ
태성,323280.KQ
테스,95610.KQ
텔콘RF제약,200230.KQ
티앤엘,340570.KQ
티엘비,356860.KQ
티피씨글로벌,130740.KQ
파인엠텍,441270.KQ
파크시스템스,140860.KQ
펌텍코리아,251970.KQ
펨트론,168360.KQ
펩트론,87010.KQ
폴라리스AI파마,41910.KQ
프로티아,303360.KQ
플레이위드,23770.KQ
피델릭스,32580.KQ
하나30호스팩,469880.KQ
하나머티리얼즈,166090.KQ
하림,136480.KQ
하림지주,3380.KQ
하이퍼코퍼레이션,65650.KQ
한국기업평가,34950.KQ
한국정보공학,39740.KQ
한국정보통신,25770.KQ
한국첨단소재,62970.KQ
한국캐피탈,23760.KQ
한국큐빅,21650.KQ
한라IMS,92460.KQ
한송네오텍,226440.KQ
한일단조,24740.KQ
한화플러스제4호스팩,455310.KQ
헬릭스미스,84990.KQ
현대무벡스,319400.KQ
현대바이오,48410.KQ
휴맥스홀딩스,28080.KQ
흥국에프엔비,189980.KQ
